大会,予選,問題番号,問題,正解,補足
7,九州,15,座禅で肩を叩かれるのは、罰の意味ではなく、励ましの意味である。,○,
7,九州,16,腕の力を腕力というのに対し、足の力を足力ともいう。,○,
7,近畿,1,ここ姫路城を始め、国宝に指定されている城は全国に５つありますが、それらは全て天下分け目の関ヶ原より西にある。,×,
7,近畿,2,一度国宝に指定を受けた建物は、火事で全焼しても完全に修復されると再び国宝の指定を受けることができる。,×,
7,近畿,3,国土面積世界一のソ連。その広さは、南米大陸の面積より広い。,○,
7,近畿,4,厚く重い氷で覆われている南極大陸の平均海抜は、0メートル以下である。,○,
7,近畿,5,江戸時代、将軍の妻の住まいを「大奥」と呼んでいましたが、将軍の住まいは「中奥」といった。,○,
7,近畿,6,日本料理で料理をする人を”板前”といいますが、まだ包丁を持たせてもらえない見習いは”板後”という。,×,
7,近畿,7,「カレーうどん」と「カレーパン」先に出来たのは、カレーうどんである。,○,
7,近畿,8,裁判所の裁判長は、木槌を鳴らしてから裁判を開くように決められている。,×,
7,近畿,9,鎖国時代に終わりを告げ海外との貿易を開始した1860年、輸入品で最も多かったのは武器の原料となる鉄であった。,×,
7,近畿,10,フランス料理で、川にいるカエルは肉料理として出されるより魚料理として出される方が多い。,○,
7,近畿,11,木は1年ごとに年輪が刻まれていきますが、竹も同じように1年に1本ずつフシが増えていく。,×,
7,近畿,12,日本の人口100万人以上の都市は、すべて区に分かれている。,○,
7,近畿,13,サミットに参加する7カ国の中で、国連に加入するのが一番遅かったのは日本である。,×,
7,近畿,14,つかむとヌルヌルするウナギは、身体の表面で皮膚呼吸をする。,○,
7,四国,1,日本に夜明けを告げた幕末の志士達に西郷隆盛や桂小五郎がいますが、土佐のヒーロー坂本龍馬が”日本一の人物”と賞賛したのは、咸臨丸でアメリカに渡ったあの勝海舟である。,○,
7,四国,2,ここ四国は、仏教の歴史にその名を残す弘法大使ゆかりの地ですが、岡山・四国地区の全てのお寺を見るとやはり弘法大使が説いた真言宗が一番多い。,○,
7,四国,3,現役国会議員の中には、さすがに帝国議会の頃から議員をやっている人はいない。,×,
7,四国,4,高校生が遺言状を書いても無効となる。,×,
7,四国,5,日本で一番売れている花は皇室の紋章にも使われている菊である。,○,
7,四国,6,食べものの板チョコと乾パン。水分が少ないのは乾パンの方である。,×,
7,四国,7,ネコが怒ると毛が逆立つのは、1本1本に筋肉があるからである。,○,
7,四国,8,ほたる合戦とは、源氏ぼたると平家ぼたるが縄張り争いすることをいう。,×,
7,四国,9,昆虫のバタフライの”バタ”と、食べるバターを英語で書くとつづりは同じである。,○,
7,四国,10,相撲で勇み足で勝負が決まることはありますが、相撲の「決まり手」の中に勇み足はない。,○,
7,四国,11,雨上がりに見える虹の中には、内側が紫、外側が赤という色の配列が逆になっている虹もある。,○,
7,四国,12,「犬猿の仲」という言葉がありますが、ソ連の人工衛星に初めて犬を乗せたのに対しアメリカはサルだった。,○,
7,四国,13,魚の多くはウキブクロを持っていますが、海の底に棲むアンコウはウキブクロを持っていない。,×,
7,四国,14,全く知らない2人が同じことを発明して、同時に特許を出願すると特許権は2人に与えられる。,×,
7,四国,15,「太郎」という名前には長男という意味がありますが、「小太郎」は「太郎さんの長男」という意味である。,○,
7,中国,1,連続試合出場の世界記録を達成した衣笠選手は、６人目の国民栄誉賞に輝きました。さて、今回の国民栄誉賞は中曽根総理大臣の名で贈られましたが、正式に決定を下したのは内閣である。,×,
7,中国,2,梅雨に入った日を「入梅」というのに対し、梅雨明けが宣言された日を出梅という。,○,
7,中国,3,昭和61年の4月から昭和62年の3月まで、ここ中国４県で最も多く採れた野菜は大根である。,○,
7,中国,4,純粋な塩には、カロリーがある。,×,
7,中国,5,世界には、バナナ大統領はいますが、アボガド大統領というのもいる。,×,
7,中国,6,農具にスキとクワがありますが、料理にもスキヤキとクワヤキがある。,○,
7,中国,7,日本の歴代総理大臣で、文化勲章を受章した人は１人もいない。,○,
7,中国,8,プロ野球の選手だった人は、絶対に高校野球の監督にはなれない。,×,
7,中国,9,石油コンビナートの「コンビナート」とは”まほうの壷”という意味のアラビア語である。,×,
7,中国,10,鳥の中にはシジュウカラという鳥もいるが、ゴジュウカラという鳥もいる。,○,
7,中部,1,めざせお山の大将！日本一あやかり問題。日本一の山、富士山のてっぺんからジャンプして日本列島を一気に見渡すには、今回高校生クイズに応募した２３万６１１２人の身長を合計した距離で十分たりる。,○,
7,中部,2,徳川１５代将軍の干支を全部そろえると、１２支すべてそろう。,×,
7,中部,3,スニーカーのひもを通す金属の丸い輪を、ハトの目に似ていることからハト目という。,○,
7,中部,4,木の年輪。１年にふたまきできることもある。,○,
7,中部,5,海の宝石といわれる真珠は真水でも育つ。,○,
7,中部,6,戦国の武将”武田信玄”は子どもの頃の名を”武田鉄矢”といった。,×,
7,中部,7,出勤や退社の時間を記録するタイムレコーダーを発明したのは、時間に正確な日本人である。,×,
7,中部,8,親の子知らず。「考える人」で有名なロダンは、「考える人」を制作しているとき、自分の子供の不出来に悩んでいたこともある。,○,
7,中部,9,現在のプロ野球１２球団の監督の中で、現役時代最も多く退場の経験があるのは、ケンカ野球を打ち出している中日の星野監督である。,×,
7,中部,10,重大なニュースをスクープすることを「特ダネ」といいますが、大きなニュースを落とした時は「特ダメ」という。,×,
7,中部,11,夏まっ盛り。果物は冷やした方が甘くなる。,○,
7,中部,12,漫画の「サザエさん」でサザエとワカメは仲のいい姉妹ですが、貝のサザエも海藻のワカメが大好物である。,○,
7,中部,13,「千載一遇のチャンス」この千載とは、１０００人中たった１人だけのチャンスという意味である。,×,
7,中部,14,お茶に花が咲くのは、茶摘みをしたあとの真冬である。,×,
7,中部,15,通常の電報でアルファベットを使うことはできない。,○,
7,中部,16,植物の菊を大型にしたようなひまわりはキク科の植物である。,○,
7,中部,17,漢字に「石へん」はありますが、「岩へん」というのはない。,○,
7,中部,18,昼・夜の長さが同じ春分の日と秋分の日がありますが、現実には、大気のせいで夜よりも昼の方が長くなる。,○,
7,中部,19,暑くなると人間は汗をかきますが、同じ哺乳類のクジラも汗をかく。,×,
7,中部,20,昆虫は脱皮を繰り返して成長しますが、あのゴキブリも脱皮する。,○,
7,中部,21,世界一速い男、カルビン・スミスは、時速40kmで走る車を追い抜くことができる。,×,
7,東北,1,夢多き伊達政宗の命によって支倉常長ら使節団一行は、サン・ファン・バウチスタ号で未知の国ローマへ向かいました。そこで問題。セバスチャンの航海日誌によると、その時太平洋横断にかかった日数は世界一周を果たした、マゼランの太平洋横断１０８日間よりも短かった。,○,
7,東北,2,日本のお医者さんの頂点。初代日本医師会会長は、黄熱病研究をした野口英世である。,×,
7,東北,3,NTTは、歩道にある公衆電話ボックスの土地使用料を国やその町に支払っている。,○,
7,東北,4,殿様ガエルのメスを、姫ガエルという。,×,
7,東北,5,和室にある「床の間」は、もともとお殿様が寝るための場所だった。,×,
7,東北,6,庭に野鳥の巣箱をかける時期は、冬よりも夏の方がより適している。,×,
7,東北,7,素性の知れない人のことを馬の骨というのに対し、見どころのある若者のことは牛の骨という。,×,
7,東北,8,洒落をきかせた短い話を小話といいますが、大笑いするような奇想天外な話は大話という。,○,
7,東北,9,バレーボールのバレーとテニスのボレーは同じ意味の単語である。,○,
7,東北,10,ミツバチが人を刺したあと死んでしまうのは、針と一緒に内臓がとれてしまうからである。,○,
7,東北,11,昼間の気温が２５℃以下の時でも、夜間の気温が２５℃以上であるならその夜は「熱帯夜」という。,○,
7,東北,12,昼間、人間の肌の温度が最も低いのは、熱をはかるおでこである。,×,
7,東北,13,沼や田んぼに住む「ざりがに」はカニの一種である。,×,
7,東北,14,お風呂に入った時、指がシワシワになるのは、体温が一気に上昇して水分がなくなるためである。,×,
7,東北,15,白い米を白米というのに対し、もみがらを取ったままの米は黒い米、黒米という。,○,
7,東北,16,カタツムリには、人間のつむじと同じように右巻きと左巻きがある。,○,
7,東北,17,イギリスでは、「夕立ち」のことをevening standという。,×,
7,東北,18,しゃれた男を伊達男というのに対し、派手好きの女性を伊達女という。,○,
7,北陸,1,雷鳥が天然記念物に指定されているのは、唯一日本が大陸と陸続きであったことを証明できる鳥だからである。,○,
7,北陸,2,ホ乳類の中で、自力で自由自在に空を飛べるのはコウモリだけである。,○,
7,北陸,3,新潟県出身、あのジャイアント馬場の血液型は体にふさわしくＯ型（大型）である。,○,
7,北陸,4,一輪車も道路交通法では「自転車」である。,×,
7,北陸,5,8歳から12歳までの女の子なら、子供の硬式野球、リトルリーグに出場することができる。,○,
7,北陸,6,普通、種なしぶどうは若いうちに薬品につけますが、種なしスイカも同じようにして作る。,×,
7,北陸,7,野菜の小松菜とは、小松さんという人がホウレン草を品種改良して作ったところからその名がつけられた。,×,
7,北陸,8,アメリカで朝の挨拶は「グッドモーニング」といいますが、あまりにも天気の悪い日などは「バッドモーニング」と言う。,×,
7,北陸,9,夏の風物詩「蛍」は、英語でFIRE　FLYという。,○,
7,北陸,10,硬式テニスの国際ルール、試合で使用が認められているボールは、白と黄色の2色だけである。,○,
7,北陸,11,大気圏外でも地上と同じように風が吹いている。,×,
7,北陸,12,警察官の階級でトップは警視総監ですが、消防士のトップでもやはり消防総監である。,○,
7,北海道,1,大空の青、大地の緑、雪の白！校歌には、四季折々に燃える大自然の色が歌われていますが、全道、３３８校の高校の校歌に一番多く出てくる色は、”青春真っ只中”の「青」である。,×,
7,北海道,2,岩壁を登ることを「ロッククライミング」といいますが、氷壁を登ることは「アイスクライミング」という。,○,
7,北海道,3,ここ北海道には雄大な６つの国立公園がありますが、日本にある国立公園には、すべての県が含まれている。,×,
7,北海道,4,ハモンド・オルガンは、アメリカのハモンドが発明したものである。,○,
7,北海道,5,世界最大の建造物、中国の万里の長城の長さは、日本の北海道・稚内から九州・鹿児島までの直線距離よりも長い。,○,
7,北海道,6,”磯のあわびの片想い”といいますが、アワビの雄は産卵期になると雌の後をついて回る。,×,
7,北海道,7,まっ赤に燃える炭火からも赤外線が出ている。,○,
7,北海道,8,柿の甘柿は寒いところであればあるほど甘くなる。,×,
7,北海道,9,電気の単位には、電池の発明者「ボルタ」に因んだボルトがありますが、雷の実験で有名な「フランクリン」という単位もある。,○,
7,北海道,10,アブラゼミがはじめて脱皮するのは、地上に出た時である。,×,
7,北海道,11,漢字にふり仮名をつける「ルビ」と宝石の「ルビー」、英語の綴りは同じである。,○,
7,北海道,12,太陽の光で光合成を行う植物は家の中にある蛍光灯の明かりでも光合成をする。,○,
8,沖縄,1,オリンピック冬、夏連続出場の橋本聖子が、北は札幌から「スケート」で、南は福岡から「自転車」で、それぞれ1000m日本新の速さで一直線に君達の目指す東京へ同時にスタートすると、先にゴールするのは「自転車の聖子」である。,○,
8,沖縄,2,日本の女性の政界進出が目立っていますが、全国47都道府県すべての議会に女性議員がいる。,×,
8,沖縄,3,全国47都道府県の中で、さとうきびが農作物の収穫量の第1位を占めているのは、ここ沖縄県だけである。,×,
8,沖縄,4,過去、気象庁が記録した日本の最高気温ベスト１０の中に、ここ那覇市は入っていない。,○,
8,沖縄,5,なめるとしょっぱい汗。水分の次に多く含まれているのは、やはり食塩である。,○,
8,沖縄,6,海の底近くに棲む深海魚には、「浮きぶくろ」と連動して身体を沈めるための「おもりぶくろ」というものもある。,×,
8,沖縄,7,カラス貝のうち、まだ小さくて色の薄いものをスズメ貝という。,×,
8,関東,1,オリンピック冬、夏連続出場の橋本聖子が、北は札幌から「スケート」で、南は福岡から「自転車」で、それぞれ1000m日本新の速さで一直線に君達の目指す東京へ同時にスタートすると、先にゴールするのは「自転車の聖子」である。,○,
8,関東,2,1988年日本代表として15人の高校生がオリンピックに出場しますが、これまで日本には君達と同年代のゴールドメダリストは1人もいない。,×,
8,関東,3,アメリカから直接日本の警察に110番することができる。,×,
8,関東,4,人にくっついて歩くことを「金魚のふん」といいますが、すぐ切れて長続きしないことは「うさぎのふん」という。,○,
8,関東,5,『スモモもももももものうち」といいますが、セロリもパセリもセリのうちである。,○,
8,関東,6,なんでも「ハイ、ハイ」という人を英語で「イエスマン」というのに対し、すぐには承知しない人のことを「ノーマン」という。,○,
8,関東,7,映画の「ロードショー」とは、もともと道路で芝居を見せていたことからロードショーというようになった。,○,
8,関東,8,ロン･ヤスの仲で知られる中曽根前首相の生まれた町と、レーガン大統領の生まれた町は姉妹都市を結んでいる。,×,
8,関東,9,キリンの頸の骨と亀の頸の骨では、亀の頸の骨の方が多い。,○,
8,関東,10,コロンブスがアメリカ大陸を発見する以前から、すでに人類は地球が球形であることを知っていた。,○,
8,関東,11,あのナマケモノは、子どもを産むときも木にぶら下がったままである。,○,
8,関東,12,物事を手ほどきすることを「指南」といいますが、これは中国の人が南にあるインドを手本にしたことから生まれた言葉である。,×,
8,関東,13,学問の神様として祀られている菅原道真のお父さんも、勿論学者だった。,○,
8,九州,1,オリンピック冬、夏連続出場の橋本聖子が、北は札幌から「スケート」で、南は福岡から「自転車」で、それぞれ1000m日本新の速さで一直線に君達の目指す東京へ同時にスタートすると、先にゴールするのは「自転車の聖子」である。,○,
8,九州,2,「小倉百人一首」に詠まれている歌。内容の最も多いのは、「ラブ・ストーリー」である。,○,
8,九州,3,日本や中国でよく採れるサツマイモは、極端に寒い所に置いておくと腐りやすい。,○,
8,九州,4,消しゴムが使えるかどうかの検査に使われるエンピツの濃さは、「HB」である。,○,
8,九州,5,月は引力の作用によって、年々少しづつ地球に近づいている。,×,
8,九州,6,スズメの仲間には、渡り鳥となるものもいる。,○,
8,九州,7,漢字で太い刀の魚と書く「タチウオ」は、英語で「サーベルフィッシュ」ともいう。,○,
8,九州,8,明治時代、軟式テニスが日本で考案されたのは、硬式テニスのボールが足りなかったからである。,○,
8,近畿,1,オリンピック冬、夏連続出場の橋本聖子が、北は札幌から「スケート」で、南は福岡から「自転車」で、それぞれ1000m日本新の速さで一直線に君達の目指す東京へ同時にスタートすると、先にゴールするのは「自転車の聖子」である。,○,
8,近畿,2,ここ堺には日本一大きな古墳がありますが、近畿ブロック6県にあるすべての古墳を数えると、ここに集まった高校生14316名よりも多くなる。,○,
8,近畿,3,『古今和歌集』『後撰和歌集』『拾遺和歌集』を三代集といいますが、これらの歌集の撰者の中に女性は1人もいない。,○,
8,近畿,4,金、銀、銅を溶かすと、どんな方法を採っても1番最後に溶けるのは金である。,×,
8,近畿,5,毛が3本で有名な『オバケのＱ太郎』。卵から生まれた時は毛が一本もなかった。,×,
8,近畿,6,豊臣秀吉の金の千成ひょうたんは有名ですが、ヒョウタンの品種には本当にセンナリヒョウタンというのがある。,○,
8,近畿,7,1987年度、日本中の郵便局に出された郵便物の総数を日本の総人口で割ると、1人1年365日毎日郵便物を出したことになる。,×,
8,近畿,8,「キンモクセイ」の中で特に年輪を重ねたものを「ギンモクセイ」と呼ぶ。,×,
8,近畿,9,1988年現在市販されている最高額の「テレフォンカード」1枚あれば、丸１日市内通話することができる。,○,
8,近畿,10,道なきコースを走るオートバイのモトクロス。運転免許証がなくても世界選手権には出場できる。,○,
8,近畿,11,ソウルオリンピックで初日から最終日まで、毎日行われる競技種目は１つもない。,○,
8,近畿,12,危険！と思うと体を丸くするアルマジロのヨロイは硬い骨でできている。,×,
8,近畿,13,ウルトラマンが生まれたのはM78星雲ですが、宇宙にはM78と呼ばれる星雲が本当に実在する。,○,
8,近畿,14,世界168カ国の国旗で最も多く使われている色は、日本の国旗にも使われている白である。,×,
8,四国,1,全国47都道府県のもっとも高い山を、富士山の位置（海抜0m）に積み重ねると、そのてっぺんからソウルオリンピックのメインスタジアムを見ることができる。,○,
8,四国,2,四国・岡山５県の中で、主食である米の収穫高が最も多いのは、面積の１番広い高知県である。,×,
8,四国,3,「世界一速い男」ベン･ジョンソンの100m記録は、50cc以下のバイクの制限速度より速い。,○,
8,四国,4,空から降ってくる雨。大きい雨粒と小さい雨粒を比べると、大きい粒ほど落ちる速度は遅くなる。,×,
8,四国,5,夏の夜、美しい光を放つゲンジボタル。昼間、明るい所でじっとしている時も実は発光している。,×,
8,四国,6,犬のボクサーは、ボクシングで殴られたボクサーの様な顔をしているところから、その名がつけられた。,×,
8,四国,7,『土佐日記』『蜻蛉日記』『更級日記』の作者のうち、『小倉百人一首』にないのは、『更級日記』の作者、菅原孝標の女の歌である。,○,
8,四国,8,タコ入道という言葉がありますが、ニュウドウダコというタコが本当にいる。,×,
8,四国,9,夏場はよく汗をかきますが、一般的に男性よりも女性の方が身体の水分は多い。,×,
8,四国,10,ミレーの名画『落穂拾い』で、落穂を拾っているのは全員女性である。,○,
8,四国,11,陸上競技のトラックと貨物自動車のトラック。英語ではまったく同じ意味である。,×,
8,四国,12,お年寄りの人達の優先席、電車のシルバーシートが初めて登場したのは、敬老の日の9月15日だった。,○,
8,中国,1,オリンピック冬、夏連続出場の橋本聖子が、北は札幌から「スケート」で、南は福岡から「自転車」で、それぞれ1000m日本新の速さで一直線に君達の目指す東京へ同時にスタートすると、先にゴールするのは「自転車の聖子」である。,○,
8,中国,2,日本三景といわれる広島の宮島、京都の天の橋立て、宮城の松島。この３ヵ所のうち、国立公園に含まれているのは宮島だけである。,○,
8,中国,3,イソップ童話に『ウサギとカメ』というのがありますが、カメの仲間には、速度がちょっぴり速い「ウサギガメ」というのもいる。,×,
8,中国,4,体の平べったいワニは、泳ぐ時バランスをとるために石を飲み込む。,○,
8,中国,5,サルも花粉症にかかる。,○,
8,中国,6,野球に似たソフトボールは、大正時代日本で考え出されたものである。,×,
8,中国,7,オリンピックの競泳種目、自由形、平泳ぎ、背泳ぎ、バタフライ。この4種目において日本は、過去の大会ですべて金メダルを獲得している。,○,
8,中国,8,模様や大きさが違うアゲハチョウ。サナギの時も、オスとメスの色が違う。,×,
8,中国,9,いかに太陽が大きくても、地球との万有引力は、より近い月の方が大きい。,×,
8,中国,10,日本では、4年制の大学よりも短期大学のほうが多い。,○,
8,中国,11,ここ100年間日本に誕生した博士で最も多いのは医学博士である。,○,
8,中国,12,イカやタコの吐く墨。英語でもやはりインクという。,○,
8,中国,13,1人で何人分もの働きをすることを「八面六臂」といいますが、1人分以下の時は「三面六臂」という。,×,
8,中部,1,オリンピック冬、夏連続出場の橋本聖子が、北は札幌から「スケート」で、南は福岡から「自転車」で、それぞれ1000m日本新の速さで一直線に君達の目指す東京へ同時にスタートすると、先にゴールするのは「自転車の聖子」である。,○,
8,中部,2,瀬戸物の瀬戸と瀬戸内海の瀬戸。ともに「せまい」という意味である。,×,
8,中部,3,名古屋城といえば金のシャチホコが有名ですが、君達の目指す東京の江戸城にも金のシャチホコはあった。,○,
8,中部,4,ノコギリザメの赤ちゃんは、ノコギリがついたまま生まれる。,○,
8,中部,5,日本一の長寿のおばあちゃんは、光GENJI全員の年齢を足した数より、もっと年上である。,×,
8,中部,6,長野県出身の俳人、小林一茶が残した句に、三重県出身の俳句の先輩、松尾芭蕉のことを詠んだ句は１つもない。,×,
8,中部,7,「光と電波」。真空中の速さを比べると光の方が断然速い。,×,
8,中部,8,人間も地域によって方言があるように、鳥も育った場所によって鳴き方が違う。,○,
8,中部,9,人を刺す蜂のオスバチは、どんな種類であっても１００％人を刺すことはない。,○,
8,中部,10,動く歩道ともいわれるエスカレーターのスピードは、道路交通法で決められている。,×,
8,中部,11,普通はグリーンのカメレオも、興奮すると赤くなる。,×,
8,中部,12,風の種類に偏西風がありますが、偏東風もある。,○,
8,東北,1,オリンピック冬、夏連続出場の橋本聖子が、北は札幌から「スケート」で、南は福岡から「自転車」で、それぞれ1000m日本新の速さで一直線に君達の目指す東京へ同時にスタートすると、先にゴールするのは「自転車の聖子」である。,○,
8,東北,2,世界一の技術をもって掘られた青函トンネルですが、その最も深い所は日本一深い田沢湖の最大水深よりも浅い。,○,
8,東北,3,日本のプロ野球。女性であっても試験に合格すれば公式審判員になることができる。,○,
8,東北,4,明治時代ぜいたく品であった自転車にも、今の自動車税のような自転車税というのがあった。,○,
8,東北,5,1987年、NTT104番へ全国から寄せられた問い合わせ件数は、東北6県すべての人が、1年365日毎日1回問い合わせた数よりも多い。,×,
8,東北,6,簡単にできることを「朝飯し前のお茶の子さいさい」といいますが、この「お茶の子」とは、お茶に添えて出すお茶菓子のことである。,○,
8,東北,7,「押っ取り刀でかけつける」という言葉は、ゆっくり現場にかけつけることをいう言葉である。,×,
8,東北,8,ワライタケというキノコがあるように、オワライグサというクサもある。,×,
8,東北,9,「とどめを刺す」という時の「とどめ」とは、もともと心臓のことである。,×,
8,北陸,1,オリンピック冬、夏連続出場の橋本聖子が、北は札幌から「スケート」で、南は福岡から「自転車」で、それぞれ1000m日本新の速さで一直線に君達の目指す東京へ同時にスタートすると、先にゴールするのは「自転車の聖子」である。,○,
8,北陸,2,路面電車もスピード違反をするとパトカーに捕まる。,○,
8,北陸,3,物事をよく知っている「生き字引」の人を「ウォーキングディクショナリー」といいますが、これは和製英語である。,×,
8,北陸,4,人の「指紋」。英語では「フィンガー・プリント」という。,○,
8,北陸,5,ジャムの仲間に「マーマレード」というのがありますが、「パーパレード」というものもある。,×,
8,北陸,6,君達が生まれた頃に打ち上げられた日本最初の人工衛星「おおすみ」は、既に大気圏に落下して燃えつきている。,×,
8,北陸,7,子供達がよく遊ぶブランコ、すべり台、砂場。この３つを必ず備えていなければ幼稚園を開くことはできない。,○,
8,北陸,8,自由に選べることを「よりどりみどり」といいますが、鳥の仲間に「よりどり」と「みどり」という鳥が本当にいる。,×,
8,北陸,9,「冷血動物」とは、体温が人間より低い動物のことをいう。,×,
8,北陸,10,非常に硬いクルミの殻にも、芽を出すための小さな穴がある。,×,
8,北陸,11,薬用にもなる「ドクダミ」には、まったく毒はない。,○,
8,北陸,12,パーティーに着る礼服。タキシードは、この服を初めて着たタキシード伯爵の名をとってつけられたものである。,×,
8,北陸,13,怒ったとき、陸上でおなかを膨らませるフグ。海の中で怒った時は、水を飲み込んで膨らませる。,○,
8,北陸,14,陸上競技の日本No.1選手でも、オリンピック記録を突破しなければ、オリンピックには出場できない。,×,
8,北陸,15,「能書を並べたてる」という言葉がありますが、これはもともと自分を売り込むための履歴書のことであった。,×,
8,北陸,16,暮らし向きが楽な人のことを「左うちわ」というのに対し、暮らし向きの悪い人は「右うちわ」という。,×,
8,北陸,17,ピーマンの赤ピーマンは、緑のピーマンが熟したものである。,○,
8,北陸,18,日本の法律では、飛行船もヘリコプターと同じように「航空機」として扱われる。,○,
8,北海道,1,オリンピック冬、夏連続出場の橋本聖子が、北は札幌から「スケート」で、南は福岡から「自転車」で、それぞれ1000m日本新の速さで一直線に君達の目指す東京へ同時にスタートすると、先にゴールするのは「自転車の聖子」である。,○,
8,北海道,2,北海道と本州を結んだ青函トンネル53.8kmと、四国と本州を結んだ瀬戸大橋12.3km。1日の工事で進んだ平均距離は、青函トンネルの方が長かった。,○,
8,北海道,3,甘くておいしいメロン。農林水産省では「木にならない」という理由から、「野菜」に分類されている。,○,
8,北海道,4,地球の周りを回るロケットを人工衛星といいますが、太陽の周りを回るように打ち上げたものは、人口惑星という。,○,
8,北海道,5,宇宙空間にある静止衛星が静止しているのは、地球と月の引力がちょうど釣り合うところに浮かんでいるからである。,×,
8,北海道,6,海に棲むタコも、サカナと同じようにエラで呼吸をしている。,○,
9,沖縄,1,ヤンバルクイナ、イリオモテヤマネコなどの珍しい動物で知られるここ沖縄県。やはり、天然記念物の数も日本一である。,×,
9,沖縄,2,沖縄県の天然記念物の数は４０でしたが、日本の最北端、北海道と比べると天然記念物の数が多いのは沖縄県の方である。,×,
9,沖縄,3,マリンスポーツで人気のジェットスキー。免許を取る時、泳げる人という条件がある。,×,
9,沖縄,4,南半球に棲む「極楽鳥」。英語でも「バード・オブ・パラダイス」という。,○,
9,沖縄,5,北斗七星と南十字星。この２つを同時に見ることができる都道府県は、ここ沖縄県だけである。,×,
9,沖縄,6,哺乳動物のクジラ。海に潜っている間は息を止めている。,○,
9,沖縄,7,全国でもっとも市の数が少ない都道府県は、沖縄県である。,×,
9,関東,1,君達の持っているテレホンカードと同じ大きさの鏡を50cm先に持ち、富士山を背にその雄姿を映しながら一直線に離れていくと、西武球場へ到達するまでに、その中に富士山はすっぽり入ってしまう。,×,
9,関東,2,1989年に「市制100年」を迎える都市が全国に38カ所ありますが、平成になって新しく誕生した「市」もある。,×,
9,関東,3,世界で1番多く鉛筆を生産しているのは、勉強好きの日本である。,×,
9,関東,4,水より冷たい氷は存在するが、氷より冷たい水もある。,○,
9,関東,5,風を帆で受けて水面を走るヨットは、吹いている風より速く走ることはできない。,×,
9,関東,6,文芸書のベストセラーでナンバーワンに輝いたのは吉本ばななですが、1988年の日本の果物の輸入量でナンバーワンになったのもバナナである。,○,
9,関東,7,元素記号で最も多く使われているアルファベットは、窒素の「N」とラジウムの「R」である。,○,
9,関東,8,同じ明るさの蛍光灯。まっすぐの管と丸い管。寿命が長いのは、まっすぐの管である。,○,
9,関東,9,国語辞典の王様『広辞苑』には、「広辞苑」という項目がある。,×,
9,関東,10,出世魚の「スズキ」。稚魚は「ダイチ」と呼ばれる。,×,
9,関東,11,蜜蜂から蜜を集める養蜂家は、花の咲かない時期には、蜂に砂糖水をやっている。,○,
9,関東,12,日本の官庁街、霞ヶ関にある法務省。実は、大岡裁きで有名な大岡越前守の江戸屋敷跡にある。,○,
9,関東,13,緯度0度の線を赤道といいますが、英語では「red road」という。,×,
9,関東,14,だめしの名人「キツネ」と「タヌキ」。実は、同じ科の仲間である。,○,
9,関東,15,日本で初めて新橋～横浜間を走った機関車の運転士は、日本人であった。,×,
9,関東,16,国会には、「開会式」はあるが「閉会式」はない。,○,
9,九州,1,九州では「アジア太平洋博覧会」が開かれていますが、世界で最初の万国博覧会は、１９８９年に革命２００年を迎えたフランスで開かれた。,×,
9,九州,2,寝るときに着る「パジャマ」は、インドのパジャマ和尚の名にちなんで付けられたものである。,×,
9,九州,3,蚊の幼虫「ボウフラ」は、泳ぐ姿が棒を振っているように見えたところから「棒ふら」とその名がついた。,○,
9,九州,4,水の上をスイスイと走るアメンボは、せっけん水の中では沈んでしまう。,○,
9,九州,5,「知恵は万代の宝」。このすばらしい言葉を「金言」といいますが、英語でも「golden saying」という。,○,
9,九州,6,あの赤い「ニンジン」は、ゴボウの一種である。,×,
9,九州,7,シンクロナイズドスイミングで、福留功男に実力があれば、オリンピックで小谷実可子さんとデュエットすることができる。,×,
9,九州,8,中国では「電子計算機」と書くと、コンピュータのことである。,○,
9,九州,9,現在、日本（1989年6月16日発表の1988年度野菜生産量）でもっとも生産量の多い野菜は、当然ジャガイモである。,○,
9,九州,10,「立てば芍薬、座れば牡丹、歩く姿は百合の花」と、美人を表す３つの花。俳句では、すべて夏の季語である。,○,
9,九州,11,スポーツ競技で「初段」「三段」などの段位があるのは、柔道、剣道を始めとする武道だけである。,×,
9,九州,12,1989年現在発行されているパスポートには、新しい元号「平成」と書かれている。,×,
9,九州,13,ボクシングで頭が相手にぶつかる「バッティング」と、野球でボールを打つ「バッティング」。どちらも、英語の綴りは同じである。,×,
9,近畿,1,若草山のてっぺんを甲子園球場のピッチャーマウンドに見たて、そこに同じ倍率の巨人の桑田投手が立つとすれば、その身長は近畿で1番高い山を超える。,○,
9,近畿,2,国の天然記念物に指定されている「奈良市内の鹿」は、市内を1歩出て暮らすと天然記念物の指定からはずされてしまう。,○,
9,近畿,3,日本一を目指す「全国高等学校クイズ選手権」と夏の「全国高等学校野球選手権大会」。近畿ブロックから同じ年にこの両方の代表となった高校は、過去に1校もない。,×,
9,近畿,4,徳川15代将軍と足利15代将軍。この中で、1番長生きした将軍も、1番短命だった将軍も、ともに徳川家の将軍である。,○,
9,近畿,5,ノーベル物理学賞を受賞した湯川秀樹と朝永振一郎は、京都大学の同期生である。,○,
9,近畿,6,世界のどの勢力にも属さず、「中立」を国の基本としているスイスとオーストリアは、ともに国際連合に加盟していない。,×,
